1_DMSO_1	2_DMSO_2	3_Sora_1	4_Sora_2	5_Tram_1	6_Tram_2
ENSG00000223972	1	1	0	0	0	0
ENSG00000227232	67	56	85	91	103	85
ENSG00000243485	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	0	0	0	3	2	3
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	7	6	4	3	3	9
ENSG00000237683	149	91	116	126	153	134
ENSG00000268903	1	0	0	1	2	1
ENSG00000269981	0	0	0	0	0	0
ENSG00000239906	17	3	2	12	6	12
ENSG00000241860	22	16	17	28	16	20
ENSG00000222623	1	0	0	0	0	0
ENSG00000241599	0	0	0	0	2	2
ENSG00000228463	1	0	0	0	0	2
ENSG00000241670	0	0	0	0	0	0
ENSG00000237094	3	2	5	4	4	6
ENSG00000250575	0	0	0	0	0	0
ENSG00000233653	3	1	0	1	1	3
ENSG00000224813	0	0	0	0	0	0
ENSG00000235249	2	0	0	0	1	0
ENSG00000269732	0	0	0	0	0	0
ENSG00000256186	0	0	0	0	0	0
ENSG00000236601	0	0	0	1	0	0
ENSG00000236743	0	0	1	0	0	0
ENSG00000236679	0	0	0	0	0	0
ENSG00000231709	0	0	0	0	0	0
ENSG00000235146	0	0	0	0	0	0
ENSG00000239664	0	0	0	0	0	0
ENSG00000230021	0	1	0	0	0	0
ENSG00000223659	0	0	0	0	0	0
ENSG00000225972	67	144	98	93	56	105
ENSG00000225630	3586	4319	3870	4545	3358	3905
ENSG00000237973	1869	2404	2151	1961	1345	1786
ENSG00000229344	629	912	693	598	376	744
ENSG00000240409	7	14	6	2	9	4
ENSG00000248527	8434	11400	8502	9046	8332	9951
ENSG00000198744	417	521	431	476	266	419
ENSG00000268663	0	0	0	0	0	0
ENSG00000185097	0	0	0	0	0	0
ENSG00000229376	1	1	0	0	0	0
ENSG00000224956	7	6	15	18	23	13
ENSG00000235373	3	6	2	5	5	6
ENSG00000223181	0	0	0	0	0	0
ENSG00000240618	4	0	1	1	2	1
ENSG00000229905	0	0	0	0	0	0
ENSG00000228327	14	8	15	15	23	16
ENSG00000237491	12	8	16	13	13	12
ENSG00000230092	9	7	4	1	8	8
ENSG00000269831	1	0	0	0	1	0
ENSG00000240453	0	0	0	0	0	0
ENSG00000177757	0	2	1	1	3	1
ENSG00000225880	4	6	12	13	8	7
ENSG00000228794	327	349	220	290	312	335
ENSG00000230368	0	0	0	0	2	1
ENSG00000234711	1	1	0	0	2	0
ENSG00000269308	0	0	0	0	0	0
ENSG00000272438	0	0	0	0	1	0
ENSG00000230699	0	0	3	1	1	2
ENSG00000241180	0	0	0	0	0	0
ENSG00000223764	1	2	0	3	1	1
ENSG00000187634	0	1	0	1	0	1
ENSG00000268179	0	0	0	0	0	0
ENSG00000188976	4574	4862	3804	4773	4762	4653
ENSG00000187961	120	88	122	143	144	144
ENSG00000187583	194	145	165	196	193	193
ENSG00000187642	58	30	40	47	69	48
ENSG00000272512	14	19	12	19	18	20
ENSG00000188290	37	31	48	81	58	60
ENSG00000231702	4	4	5	2	5	1
ENSG00000224969	0	0	0	0	0	1
ENSG00000187608	161	118	188	238	195	159
ENSG00000188157	7316	4970	8086	11654	9921	7133
ENSG00000242590	0	0	0	0	0	0
ENSG00000217801	89	55	89	97	121	83
ENSG00000273443	4	3	6	8	2	5
ENSG00000237330	107	107	182	221	193	202
ENSG00000131591	479	393	435	531	593	531
ENSG00000223823	9	4	10	13	14	9
ENSG00000207730	0	0	2	5	1	1
ENSG00000207607	2	0	4	4	2	2
ENSG00000198976	7	2	7	6	7	5
ENSG00000272141	41	43	80	106	97	73
ENSG00000205231	1	1	2	1	1	0
ENSG00000162571	4	3	7	10	11	8
ENSG00000186891	13	9	14	17	13	10
ENSG00000186827	0	0	1	0	1	0
ENSG00000078808	3750	3455	4136	5467	4592	4039
ENSG00000176022	555	582	370	464	667	561
ENSG00000184163	108	70	111	137	109	86
ENSG00000260179	2	2	2	7	12	7
ENSG00000160087	1023	1097	955	1197	1220	1142
ENSG00000230415	0	0	2	1	4	1
ENSG00000162572	29	15	31	46	43	40
ENSG00000131584	684	603	737	975	815	779
ENSG00000169972	379	300	332	463	418	444
ENSG00000127054	1953	1850	1851	2246	2390	2177
ENSG00000240731	29	30	31	19	30	25
ENSG00000224051	665	576	605	826	825	620
ENSG00000169962	18	20	15	20	22	24
ENSG00000107404	2859	2039	2174	3164	2947	2337
ENSG00000162576	89	88	92	105	109	81
ENSG00000175756	1631	1512	1670	2258	1905	1842
ENSG00000223663	0	0	0	0	0	1
ENSG00000221978	751	705	768	827	973	881
ENSG00000224870	432	422	461	541	619	572
ENSG00000242485	1712	1814	1545	1858	1952	1820
ENSG00000264293	0	0	0	0	0	0
ENSG00000272455	59	92	53	61	69	76
ENSG00000235098	15	6	13	30	20	16
ENSG00000225905	0	2	2	1	2	1
ENSG00000205116	0	1	0	0	0	0
ENSG00000225285	10	13	10	36	29	16
ENSG00000179403	1018	825	1304	1631	1500	1298
ENSG00000215915	156	179	113	149	176	168
ENSG00000160072	1056	1119	766	1047	1201	1096
ENSG00000197785	1260	1139	1205	1453	1610	1529
ENSG00000205090	4	4	4	4	0	3
ENSG00000160075	2832	3014	2291	2930	2968	2606
ENSG00000215791	0	0	0	0	0	0
ENSG00000215014	2	7	2	6	4	3
ENSG00000236684	0	0	0	0	0	0
ENSG00000228594	42	48	50	50	65	64
ENSG00000272106	34	21	35	43	37	30
ENSG00000197530	382	200	359	533	481	439
ENSG00000189409	0	0	0	4	0	0
ENSG00000248333	737	684	769	903	805	748
ENSG00000272004	0	1	0	0	1	0
ENSG00000189339	1256	1299	1417	1673	1665	1454
ENSG00000269737	12	3	5	9	6	7
ENSG00000269227	4	1	3	3	3	3
ENSG00000215914	0	0	0	0	3	2
ENSG00000008128	5	3	4	8	10	12
ENSG00000268575	25	29	46	36	47	43
ENSG00000227775	40	18	38	50	60	39
ENSG00000215790	71	78	88	106	121	112
ENSG00000008130	1780	1834	1996	2430	2143	2030
ENSG00000078369	14311	14023	12935	16299	15434	12720
ENSG00000231050	0	0	0	0	0	1
ENSG00000169885	0	0	0	1	0	1
ENSG00000178821	80	109	71	116	109	119
ENSG00000142609	1	1	6	4	2	3
ENSG00000233542	14	28	6	8	28	16
ENSG00000187730	7	6	8	9	5	10
ENSG00000226969	1	1	0	2	0	2
ENSG00000067606	815	784	962	1244	972	861
ENSG00000271806	3	2	1	5	0	3
ENSG00000182873	67	50	65	56	79	62
ENSG00000162585	584	522	556	858	777	675
ENSG00000269554	0	0	0	0	0	0
ENSG00000203301	2	1	5	3	3	0
ENSG00000243558	0	0	0	0	0	0
ENSG00000234396	0	0	0	0	0	0
ENSG00000157933	1390	1381	1352	1832	1621	1461
ENSG00000116151	28	28	39	36	53	33
ENSG00000272161	0	0	0	0	1	0
ENSG00000269753	0	1	0	1	0	0
ENSG00000269896	13	11	14	13	18	11
ENSG00000238240	0	0	0	0	0	0
ENSG00000272420	0	2	0	0	1	0
ENSG00000271921	5	1	1	3	4	3
ENSG00000271847	3	3	5	3	2	2
ENSG00000178642	0	0	0	0	0	0
ENSG00000157916	3105	3301	3104	3631	3600	3078
ENSG00000157911	604	602	521	656	689	658
ENSG00000149527	269	162	212	248	275	212
ENSG00000224387	5	0	1	0	2	0
ENSG00000229393	0	0	0	1	0	0
ENSG00000157881	921	800	995	1204	985	825
ENSG00000197921	6	2	3	1	4	1
ENSG00000272449	16	6	16	19	19	15
ENSG00000238164	366	326	419	451	542	442
ENSG00000157873	979	816	1089	1325	1268	969
ENSG00000225931	5	5	0	4	2	7
ENSG00000228037	39	38	45	35	52	46
ENSG00000157870	1835	1858	1888	2321	2332	2056
ENSG00000142606	15	16	32	36	31	22
ENSG00000237058	0	0	0	0	0	0
ENSG00000215912	3	6	6	7	4	5
ENSG00000233234	0	0	0	0	0	0
ENSG00000231630	1	0	1	0	1	0
ENSG00000169717	0	0	0	0	0	0
ENSG00000177133	0	0	0	0	0	0
ENSG00000256761	0	0	0	0	0	0
ENSG00000142611	13	9	21	28	17	12
ENSG00000226286	1	0	1	0	0	0
ENSG00000272235	13	9	7	11	10	19
ENSG00000130762	2161	1941	2076	2657	2618	2173
ENSG00000272088	0	5	10	4	4	4
ENSG00000162591	396	247	427	676	550	390
ENSG00000207776	0	0	0	0	0	0
ENSG00000238260	1	1	3	1	0	5
ENSG00000158109	2871	3112	3042	3753	3412	2926
ENSG00000116213	844	797	781	959	925	814
ENSG00000078900	269	262	363	480	427	326
ENSG00000227589	0	2	1	0	1	0
ENSG00000235131	0	1	0	0	1	0
ENSG00000227372	0	0	0	0	0	1
ENSG00000162592	2	1	1	2	2	2
ENSG00000235169	30	17	41	32	27	19
ENSG00000130764	1246	1222	1226	1427	1515	1268
ENSG00000266075	1	1	0	2	0	0
ENSG00000272153	6	4	3	5	4	6
ENSG00000116198	731	765	619	713	787	736
ENSG00000169598	237	286	256	317	291	284
ENSG00000264428	0	0	0	0	0	0
ENSG00000198912	957	994	907	1042	1093	1021
ENSG00000236423	34	44	59	73	55	69
ENSG00000233304	0	0	0	1	0	0
ENSG00000226374	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	1
ENSG00000235054	0	0	0	1	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0
ENSG00000196581	8	8	6	9	5	5
ENSG00000231510	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0
ENSG00000216045	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	1
ENSG00000131697	372	312	327	410	416	329
ENSG00000266687	0	0	0	0	0	0
ENSG00000069424	182	132	149	176	164	158
ENSG00000268332	0	0	0	0	0	0
ENSG00000116254	9	3	7	4	8	6
ENSG00000116251	10832	11299	11043	13214	12743	11238
ENSG00000226944	2	1	2	5	5	3
ENSG00000158286	122	88	119	149	146	119
ENSG00000116237	5270	5849	5136	6659	6282	5671
ENSG00000225077	13	17	9	18	22	19
ENSG00000173673	0	0	1	0	0	0
ENSG00000158292	1399	1201	1119	1435	1431	1158
ENSG00000097021	764	743	636	874	810	762
ENSG00000271746	0	0	0	0	0	0
ENSG00000069812	15	8	10	9	17	9
ENSG00000187017	131	123	203	291	201	147
ENSG00000265392	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	1	0
ENSG00000215788	161	83	101	90	118	89
ENSG00000171680	945	613	639	817	918	681
ENSG00000162408	550	639	378	452	560	544
ENSG00000253022	0	0	0	1	1	0
ENSG00000229519	5	4	2	1	1	3
ENSG00000173662	1	1	1	1	2	0
ENSG00000204859	230	202	300	353	250	250
ENSG00000162413	1934	1539	906	1186	1636	1375
ENSG00000116273	1168	1123	969	1189	1254	1060
ENSG00000041988	220	248	276	405	327	310
ENSG00000007923	1633	1786	1301	1597	1725	1713
ENSG00000228750	0	0	0	0	0	0
ENSG00000239166	0	0	0	0	0	0
ENSG00000237436	0	4	1	1	5	5
ENSG00000171735	791	757	807	830	840	757
ENSG00000227950	0	0	1	0	0	0
ENSG00000237365	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0
ENSG00000237402	0	0	0	0	1	0
ENSG00000237728	0	0	0	0	0	0
ENSG00000225126	0	0	0	0	0	0
ENSG00000270171	0	0	0	0	0	0
ENSG00000270035	2	0	1	0	0	0
ENSG00000269978	0	0	0	0	0	0
ENSG00000049245	3258	3403	3357	4099	3858	3284
ENSG00000269925	7	4	3	4	10	4
ENSG00000049246	279	306	285	341	355	297
ENSG00000236266	0	0	1	2	2	0
ENSG00000049247	66	49	41	64	63	56
ENSG00000049249	25	14	19	29	19	16
ENSG00000270330	0	0	0	0	0	0
ENSG00000116288	4595	5008	4218	5317	5017	4715
ENSG00000200344	1	0	0	0	0	0
ENSG00000116285	13300	8316	2824	3663	8862	4807
ENSG00000238290	4	2	8	4	2	5
ENSG00000232848	1	1	4	5	1	1
ENSG00000229305	0	0	0	0	0	1
ENSG00000200975	0	0	0	0	0	0
ENSG00000227634	4	0	4	4	4	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000265414	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0
ENSG00000162426	10	5	8	3	4	4
ENSG00000252254	0	0	0	0	0	0
ENSG00000142599	3030	2786	3633	4659	3611	3154
ENSG00000232912	1	1	0	1	1	0
